wall_t,loop_idx,infer_ms,loop_dt_ms,loop_hz,e2e_latency_ms,detected,vision_fps
1781860862.808737,259,0.000,21.615,46.264,0.000,0,7.802
1781860862.830494,260,0.000,21.757,45.962,0.000,0,7.772
1781860862.852155,261,0.000,21.661,46.165,0.000,0,7.742
1781860862.873781,262,105.946,21.626,46.241,111.234,1,7.888
1781860862.895515,263,0.000,21.733,46.012,0.000,0,7.858
1781860862.917343,264,0.000,21.828,45.812,0.000,0,7.828
1781860862.939121,265,0.000,21.778,45.918,0.000,0,7.799
1781860862.960755,266,0.000,21.634,46.223,0.000,0,7.770
1781860862.982515,267,0.000,21.759,45.957,0.000,0,7.741
1781860863.004255,268,104.562,21.741,45.997,116.526,1,7.883
1781860863.026263,269,0.000,22.008,45.438,0.000,0,7.854
1781860863.048034,270,0.000,21.771,45.933,0.000,0,7.825
1781860863.069750,271,0.000,21.716,46.050,0.000,0,7.796
1781860863.091608,272,0.000,21.858,45.750,0.000,0,7.767
1781860863.113381,273,0.000,21.773,45.928,0.000,0,7.738
1781860863.135370,274,107.225,21.989,45.477,0.000,0,7.878
1781860863.157130,275,0.000,21.760,45.956,0.000,0,7.849
1781860863.178754,276,0.000,21.624,46.245,0.000,0,7.821
1781860863.200340,277,0.000,21.586,46.327,0.000,0,7.793
1781860863.221980,278,0.000,21.640,46.211,0.000,0,7.765
1781860863.243461,279,0.000,21.482,46.552,0.000,0,7.737
1781860863.265472,280,107.529,22.011,45.432,0.000,0,7.874
1781860863.287251,281,0.000,21.779,45.915,0.000,0,7.845
1781860863.308879,282,0.000,21.628,46.236,0.000,0,7.818
1781860863.330631,283,0.000,21.751,45.975,0.000,0,7.790
1781860863.352365,284,0.000,21.734,46.010,0.000,0,7.763
1781860863.374002,285,105.056,21.637,46.217,0.000,0,7.897
1781860863.395881,286,0.000,21.879,45.707,0.000,0,7.869
1781860863.417756,287,0.000,21.876,45.713,0.000,0,7.842
1781860863.439744,288,0.000,21.987,45.481,0.000,0,7.814
1781860863.461763,289,0.000,22.019,45.415,0.000,0,7.787
1781860863.483891,290,0.000,22.128,45.192,0.000,0,7.760
1781860863.508615,291,101.198,24.725,40.445,0.000,0,7.887
1781860863.530655,292,0.000,22.040,45.373,0.000,0,7.860
1781860863.552629,293,0.000,21.974,45.508,0.000,0,7.833
1781860863.574548,294,0.000,21.919,45.622,0.000,0,7.806
1781860863.596404,295,0.000,21.856,45.755,0.000,0,7.779
1781860863.618374,296,0.000,21.970,45.517,0.000,0,7.753
1781860863.640504,297,109.745,22.130,45.187,0.000,0,7.881
1781860863.662203,298,0.000,21.698,46.087,0.000,0,7.854
1781860863.684024,299,0.000,21.822,45.826,0.000,0,7.828
1781860863.705864,300,0.000,21.840,45.788,0.000,0,7.802
1781860863.727651,301,0.000,21.787,45.900,0.000,0,7.776
1781860863.749357,302,105.914,21.706,46.070,0.000,0,7.902
1781860863.771542,303,0.000,22.185,45.075,0.000,0,7.876
1781860863.793767,304,0.000,22.224,44.996,0.000,0,7.849
1781860863.815906,305,0.000,22.140,45.168,0.000,0,7.823
1781860863.837822,306,0.000,21.916,45.629,0.000,0,7.798
1781860863.859624,307,0.000,21.802,45.867,0.000,0,7.772
1781860863.881415,308,105.447,21.791,45.890,0.000,0,7.896
1781860863.903406,309,0.000,21.991,45.473,0.000,0,7.870
1781860863.925112,310,0.000,21.706,46.070,0.000,0,7.845
1781860863.947050,311,0.000,21.938,45.583,0.000,0,7.819
1781860863.968910,312,0.000,21.859,45.747,0.000,0,7.794
1781860863.990665,313,0.000,21.756,45.965,0.000,0,7.769
1781860864.012232,314,106.894,21.566,46.368,0.000,0,7.891
1781860864.033904,315,0.000,21.672,46.142,0.000,0,7.866
1781860864.055666,316,0.000,21.763,45.950,0.000,0,7.841
1781860864.077405,317,0.000,21.739,46.000,0.000,0,7.817
1781860864.099162,318,0.000,21.756,45.963,0.000,0,7.792
1781860864.121006,319,0.000,21.844,45.778,0.000,0,7.768
1781860864.142918,320,105.876,21.912,45.637,0.000,0,7.887
1781860864.164629,321,0.000,21.711,46.060,0.000,0,7.862
1781860864.186352,322,0.000,21.723,46.034,0.000,0,7.838
1781860864.208034,323,0.000,21.682,46.121,0.000,0,7.814
1781860864.229762,324,0.000,21.728,46.024,0.000,0,7.790
1781860864.251665,325,106.717,21.903,45.655,0.000,0,7.907
1781860864.273674,326,0.000,22.009,45.435,0.000,0,7.882
1781860864.295795,327,0.000,22.121,45.206,0.000,0,7.858
1781860864.317667,328,0.000,21.872,45.721,0.000,0,7.834
1781860864.339512,329,0.000,21.845,45.777,0.000,0,7.810
1781860864.361326,330,0.000,21.814,45.842,0.000,0,7.786
1781860864.383300,331,105.468,21.974,45.508,121.276,1,7.901
1781860864.405105,332,0.000,21.805,45.862,0.000,0,7.877
1781860864.426959,333,0.000,21.854,45.758,0.000,0,7.854
1781860864.448794,334,0.000,21.835,45.798,0.000,0,7.830
1781860864.470701,335,0.000,21.907,45.648,0.000,0,7.806
1781860864.492523,336,0.000,21.823,45.824,0.000,0,7.783
1781860864.514676,337,105.499,22.152,45.142,0.000,0,7.896
1781860864.536406,338,0.000,21.731,46.018,0.000,0,7.873
1781860864.558197,339,0.000,21.791,45.891,0.000,0,7.849
1781860864.579924,340,0.000,21.726,46.027,0.000,0,7.826
1781860864.601641,341,0.000,21.718,46.045,0.000,0,7.803
1781860864.623430,342,106.190,21.789,45.895,0.000,0,7.915
1781860864.645378,343,0.000,21.947,45.564,0.000,0,7.892
1781860864.667184,344,0.000,21.806,45.858,0.000,0,7.869
1781860864.689055,345,0.000,21.871,45.723,0.000,0,7.846
1781860864.710817,346,0.000,21.763,45.950,0.000,0,7.823
1781860864.732527,347,0.000,21.709,46.063,0.000,0,7.801
1781860864.754376,348,100.360,21.849,45.768,0.000,0,7.910
1781860864.776310,349,0.000,21.934,45.591,0.000,0,7.887
1781860864.798203,350,0.000,21.893,45.677,0.000,0,7.865
1781860864.819926,351,0.000,21.723,46.034,0.000,0,7.842
1781860864.841684,352,0.000,21.758,45.960,0.000,0,7.820
1781860864.863432,353,0.000,21.748,45.982,0.000,0,7.798
1781860864.885288,354,107.185,21.856,45.754,0.000,0,7.905
1781860864.906816,355,0.000,21.529,46.450,0.000,0,7.883
1781860864.928553,356,0.000,21.737,46.005,0.000,0,7.861
1781860864.950304,357,0.000,21.750,45.976,0.000,0,7.839
1781860864.972022,358,0.000,21.719,46.044,0.000,0,7.818
1781860864.993830,359,105.327,21.808,45.855,0.000,0,7.924
1781860865.015794,360,0.000,21.964,45.528,0.000,0,7.901
1781860865.037685,361,0.000,21.891,45.681,0.000,0,7.879
1781860865.059435,362,0.000,21.749,45.979,0.000,0,7.858
1781860865.081184,363,0.000,21.749,45.978,0.000,0,7.836
1781860865.102932,364,0.000,21.748,45.982,0.000,0,7.815
1781860865.124806,365,105.660,21.874,45.716,0.000,0,7.919
1781860865.146909,366,0.000,22.104,45.241,0.000,0,7.897
1781860865.168737,367,0.000,21.827,45.814,0.000,0,7.875
1781860865.190566,368,0.000,21.829,45.811,0.000,0,7.854
